Anivia, The Cryophoenix
Annie, The Dark Child
Aphelios, The Weapon of the Faithful
Ashe, The Frost Archer
Aurora,  The Witch between Worlds
Aurelion Sol, The Star Forger
Azir, The Emperor of the Sands
Bard, The Wandering Caretaker
Bel'Veth, The Empress of the Void
Blitzcrank, The Great Steam Golem
Brand, The Burning Vengeance
Braum, The Heart of the Freljord
Briar, The Restrained Hunger
Caitlyn, The Sheriff of Piltover
Camille, The Steel Shadow
Cassiopeia, The Serpent's Embrace
Cho'Gath, The Terror of the Void
Corki, The Daring Bombardier
Darius, The Hand of Noxus
Diana, The Scorn of the Moon
Dr. Mundo, the Madman of Zaun
Draven, The Glorious Executioner
Ekko, The Boy Who Shattered Time
Elise, The Spider Queen
Evelynn, Agony's Embrace
Ezreal, The Prodigal Explorer
Fiddlesticks, The Ancient Fear
Fiora, The Grand Duelist
Fizz, The Tidal Trickster
Galio, The Colossus
Gangplank, The Saltwater Scourge
Garen, The Might of Deacis
Gnar, The Missing Link
Gragas, The Rabble Rouser
Graves, The Outlaw
Gwen, The Hallowed Seamstress
Hecarim, The  The Shadow of War
Heimerdinger, The Revered Inventor
Hwei, The Visionary
Illaoi, The Kraken Princess
Irelia, The Blade Dancer
Ivern, The Green Father
Janna, The Storm's Fury
Jarvan IV, The Exemplar of Demacia
Jax, The Grandmaster at Arms
Jayce, The Defender of Tomorrow
Jhin, The Virtuoso
Jinx, The Loose Cannon
K'Sante, The Pride of Nazumah
Kai'Sa, The Daughter of the Void
Kalista, The Spear of Vengeance
Karma, The Enlightened One
Karthus, The Deathsinger
Kassadin, The Void Walker
Katarina, The Sinister Blade
Kayle, The Righteous
Kayn, The Shadow Reaper
Kennen, The Heart of the Tempest
Kha'Zix, The Voikreaver
Kindred, The Eternal Hunters
Kled, The Cantakerous Cavalier
Kog'Maw, The Mouth of the Abyss
LeBlanc, The Deceiver
Lee Sin, The Blind Monk
Leona, The Radiant Dawn
Lillia, The Bashful Bloom
Lissandra, The Ice Witch
Lucian, The Purifier
Lulu, The Fae Sorceress
Lux, The Lady of Luminosity
Malphite, Shard of the Monolith
Malzahar, The Prophet of the Void
Maokai, The Twitsted Treant
Master Yi, The  Wuju Bladesman
Mel, The Soul's Reflection
Milio, The Gentle Flame
Miss Fortune, The Bounty Hunter
Mordekaiser, The Iron Revenant
Morgana, The Fallen
Naafiri, The Hound of a Hundred Bites
Nami, The Tidecaller
Nasus, The Curator of the Sands
Nautilus, The Titan of the Depths
Neeko, The Curious Chameleon
Nidalee, The Bestial Huntress
Nilah, The Joy Unbounds
Nocturne, The Eternal Nightmare
Nunu & Willump, The Boy and His Yeti
Olaf, The Beserker
Orianna, The Lady of Clockwork
Ornn, The Fire below the Mountain
Pantheon, The Unbreakable Spear
Poppy, The Keeper of the Hammer
Pyke, The Bloodharbor Ripper
Qiyana, Empress of the Elements
Quinn, Demacia's Wings
Rakan, The Charmer
Rammus, The Armordillo
Rek'Sai, The Void Burrower
Renata Glasc, The Chem-Baroness
Renekton, The Butcher of the Sands
Rengar, The Pridestalker
Riven, The Exile
Rumble, The Mechanized Menace
Ryze, The Rune Mage
Samira, The Desert Rose
Sejuani, The Fury of the North
Senna, The Redeemer
Seraphine, The Starry-Eyed Songstress
Sett, The Boss
Shaco, The Demon Jester
Shen, The Eye of Twilight
Shyvana, The Half-Dragon
Singed, The Mad Chemist
Sion, The Undead Juggernaut
Sivir, The Battle Mistress
Skarner, The Primordial Sovereign
Smolder, The Fiery Fledgling
Sona, Maven of the Strings
Soraka, The Starchild
Swain, The Noxian Grand General
Sylas, The Unshackled
Syndra, The Dark Sovereign
Tahm Kench, The River King
Taliyah, The Stoneweaver
Talon, The Blade's Shadow
Taric, The Shield of Valoran
Teemo, The Swift Scout
Thresh, The Chain Warden
Tristana, The Yordle Gunner
Trundle, The Troll King
Tryndamere, The Barbarian King
Twisted Fate, The Card Master
Twitch, The Plague Rat
Udyr, The Spirit Walker
Urgot, The Dreadnought
Varus, The Arrow of Retribution
Vayne, The Night Hunter
Veigar, The Tiny Master of Evil
Vel'Koz, The Tye of the Void
Vex, The Gloomist
Vi, The Piltover Enforcer
Viego, The Ruined King
Viktor, The Machine Herald
Vladimir, The Crimson Reaper
Volibear, The Relentless Storm
Warwick, The Uncaged Wrath of Zaun
Wukong, The Monkey King
Xayah, The Rebel
Xerath, The Magus Ascendant
Xin Zhao, The Seneschal of Demacia
Yasuo, The Unforgiven
Yone, The Unforgotten
